code,tags,author,solved,attempted,partiallySolved
CHN02,"['acm15chn', 'computational', 'geometry', 'admin2']",admin2,34,104,0
CHN03,"['acm15chn', 'dynamic-programming', 'admin2']",admin2,131,714,0
CHN04,"['acm15chn', 'dynamic-programming', 'sqrt-decomp', 'admin2']",admin2,13,379,0
CHN05,"['acm15chn', 'greedy-algo', 'admin2']",admin2,1867,5324,0
CHN08,"['acm15chn', 'modulo', 'recurrence', 'admin2']",admin2,1533,9576,0
CHN07,"['acm15chn', 'game-theory', 'admin2']",admin2,56,270,0
CHN06,"['acm15chn', 'graph-traversal', 'perfect-match', 'admin2']",admin2,20,48,0
CHN09,"['acm15chn', 'loops', 'strings', 'admin2']",admin2,5088,10085,0
CHN10,"['acm15chn', 'combinatorics', 'graph', 'admin2']",admin2,19,51,0
CHN11,"['acm15chn', 'combinatorics', 'sorting', 'admin2']",admin2,19,234,0
KOL1510,"['acm15kol', 'backtracking', 'shortest', 'supersequence', 'admin2']",admin2,139,405,0
KOL1508,"['acm15kol', 'combinatorics', 'sperners', 'theorem', 'piyushkumar']",piyushkumar,39,187,0
KOL1506,"['acm15kol', 'binomial', 'dynamic-programming', 'balajiganapath']",balajiganapath,159,3420,0
KOL1507,"['acm15kol', 'decomposition', 'heavy-light', 'range-queries', 'spanningtree', 'devuy11']",devuy11,63,329,0
KOL1509,"['acm15kol', 'convex-hull', 'devuy11']",devuy11,247,1663,0
KOL1505,"['acm15kol', 'processing', 'string', 'admin2']",admin2,413,843,0
KOL1501,"['acm15kol', 'dynamic-programming', 'long', 'multiplication', 'devuy11']",devuy11,24,117,0
KOL1503,"['acm15kol', 'ancestors', 'balanced', 'common', 'lowest', 'parentheses', 'devuy11']",devuy11,55,262,0
KOL1502,"['acm15kol', 'dynamic-programming', 'devuy11']",devuy11,265,1383,0
KOL1504,"['acm15kol', 'sorting', 'devuy11']",devuy11,402,1852,0
KOL16E,"['acm16kol', 'medium', 'modular-arith', 'number-theory', 'kol_adm']",kol_adm,121,518,0
KOL16G,"['acm16kol', 'geometry', 'hard', 'integrals', 'kol_adm']",kol_adm,23,38,0
KOL16D,"['acm16kol', 'hard', 'kol_adm']",kol_adm,19,75,0
KOL16L,"['acm16kol', 'dynamic-programming', 'medium', 'admin2']",admin2,36,72,0
KOL16J,"['acm16kol', 'cakewalk', 'sorting', 'admin3']",admin3,2386,7505,0
KOL16I,"['acm16kol', 'graph', 'hard', 'kevinsogo']",kevinsogo,21,77,0
KOL16H,"['acm16kol', 'binary', 'easy', 'kol_adm']",kol_adm,488,1437,0
KOL16F,"['acm16kol', 'easy', 'string', 'kol_adm']",kol_adm,286,2621,0
KOL16C,"['acm16kol', 'binary-search', 'hard', 'kol_adm']",kol_adm,62,302,0
KOL16B,"['acm16kol', 'bitwise', 'cakewalk', 'kol_adm']",kol_adm,2201,6720,0
BLREDSET,"['acm17chn', 'chn17rol', 'dynamic-programming', 'medium', 'tree-dp', 'admin2']",admin2,53,215,0
DEFOREST,"['acm17chn', 'chn17rol', 'data-structure', 'med-hard', 'usaxena95']",usaxena95,41,234,0
AREAFIGR,"['acm17chn', 'chn17rol', 'geometry', 'medium', 'monte-carlo', 'admin2']",admin2,90,267,0
ELHIDARR,"['acm17chn', 'binary-search', 'chn17rol', 'easy-medium', 'admin2']",admin2,182,1226,0
MANCBST,"['acm17chn', 'chn17rol', 'fft', 'med-hard', 'satyaki3794']",satyaki3794,29,73,0
MRO,"['acm17chn', 'chn17rol', 'dynamic-programming', 'easy', 'wittyceaser']",wittyceaser,246,419,0
VRTXCOVR,"['2-sat', 'acm17chn', 'chn17rol', 'graphs', 'medium', 'triveni']",triveni,66,299,0
GOODBAD,"['acm17chn', 'cakewalk', 'chn17rol', 'admin2']",admin2,2115,5232,0
MINSTR,"['acm17chn', 'chn17rol', 'simple', 'admin2']",admin2,414,1072,0
OBEXPVAL,"['acm17chn', 'chn17rol', 'simple', 'admin2']",admin2,294,1063,0
GENPERM,"['acm17kgp', 'constructive', 'easy-medium', 'kgp17rol', 'architk']",architk,154,792,0
DISCAREA,"['acm17kgp', 'convex-hull-trick', 'geometry', 'hard', 'kgp17rol', 'monte-carlo', 'triveni']",triveni,8,28,0
NONOVSEG,"['acm17kgp', 'dynamic-programming', 'kgp17rol', 'medium', 'admin2']",admin2,38,147,0
STRLBP,"['acm17kgp', 'cakewalk', 'kgp17rol', 'admin2']",admin2,2007,4271,0
SPAMCLAS,"['acm17kgp', 'easy', 'kgp17rol', 'admin2']",admin2,1075,6275,0
XORQUERY,"['acm17kgp', 'dsu', 'kgp17rol', 'med-hard', 'tree', 'xor', 'usaxena95']",usaxena95,42,117,0
SCIENCEF,"['acm17kgp', 'bitmask', 'dynamic-programming', 'hard', 'kgp17rol', 'tsp', 'usaxena95']",usaxena95,22,59,0
SPANTREE,"['acm17kgp', 'constructive', 'graph', 'interactive', 'kgp17rol', 'mst', 'sidhant007']",sidhant007,59,189,0
SADQ,"['acm17kgp', 'ad-hoc', 'heavy-light', 'kgp17rol', 'medium', 'architk']",architk,129,1002,0
TAXITURN,"['acm17kgp', 'easy', 'geometry', 'kgp17rol', 'admin2']",admin2,85,918,0
ATKCTR,"['acmamr12', 'admin']",admin,284,773,0
BALL,"['acmamr12', 'admin']",admin,51,127,0
DQPERMS,"['acmamr12', 'combinatorics', 'hard', 'admin']",admin,11,42,0
FSSYNC,"['acmamr12', 'admin']",admin,104,411,0
MINMAX,"['acmamr12', 'medium', 'probability', 'admin']",admin,36,104,0
RNEST,"['acmamr12', 'admin']",admin,45,267,0
CBLOCKS,"['acmamr12', 'admin']",admin,313,1098,0
FINDHOLE,"['acmamr12', 'admin']",admin,50,109,0
LIGHTS,"['acmamr12', 'admin']",admin,663,2298,0
MSTRINGS,"['acmamr12', 'admin']",admin,1250,2044,0
LUCKY8,"['ad-hoc', 'easy', 'june12', 'witaliy_adm']",witaliy_adm,434,4735,0
LEBOMBS,"['ad-hoc', 'aug12', 'cakewalk', 'witaliy_adm']",witaliy_adm,7619,23433,0
DRANGE,"['ad-hoc', 'aug12', 'difference-seq', 'vamsi_adm']",vamsi_adm,1443,16382,0
YNOUTPUT,"['ad-hoc', 'cook25', 'shilp_adm']",shilp_adm,453,1872,0
BUYING2,"['ad-hoc', 'cook27', 'gennady_adm']",gennady_adm,9841,21702,0
CONFLIP,"['ad-hoc', 'cakewalk', 'nov12', 'simple-math', 'khad_adm']",khad_adm,15999,34089,0
LEPERMUT,"['ad-hoc', 'cakewalk', 'cook28', 'witaliy_adm']",witaliy_adm,7953,12480,0
DIRECTI,"['ad-hoc', 'cakewalk', 'cook29', 'david_adm']",david_adm,2624,5087,0
SALARY,"['ad-hoc', 'cakewalk', 'jan13', 'ivanz_adm']",ivanz_adm,7880,20155,0
BUY1GET1,"['ad-hoc', 'cakewalk', 'feb13', 'khad_adm']",khad_adm,10531,26614,0
SSPLD,"['april18', 'dp-bitmask', 'fft', 'fwt', 'hard', 'palindrome', 'chemthan']",chemthan,194,325,0
AVGPR,"['april18', 'array', 'looping', 'math', 'anuj_2106']",anuj_2106,18803,40966,0
CHEFPAR,"['april18', 'challenge', 'factorization', 'mgch', 'random', 'simulation', 'mgch']",mgch,12729,17029,0
JADUGAR,"['april18', 'generating_functions', 'hard', 'math', 'usaxena95']",usaxena95,1870,3055,0
VAIMIN,"['april18', 'combinatorics', 'dynamic-programming', 'generalized-catalan', 'medium-hard', 'vaibhav18197']",vaibhav18197,1042,5672,0
HIGHWAYC,"['april18', 'easy', 'epsilon', 'geometry', 'math', 'vidyut_1']",vidyut_1,17184,27562,0
CHEFAT,"['april18', 'lazypropagation', 'medium-hard', 'segtree', 'taylor-series', 'bciobanu']",bciobanu,1599,2435,0
CUTPLANT,"['april18', 'data-structure', 'deque', 'medium', 'segment-tree', 'sqrt-decomp', 'step_by_step']",step_by_step,9008,16713,0
CHEFWORK,"['april18', 'array', 'cakewalk', 'looping', 'minimum_element', 'adlet_zeineken']",adlet_zeineken,14425,28343,0
WGHTNUM,"['april18', 'easy', 'fast-expo', 'vkrules1104']",vkrules1104,7022,36792,0
LECANDY,"['array', 'cakewalk', 'june12', 'witaliy_adm']",witaliy_adm,16565,34118,0
ACM14KN3,"['acmkan14', 'array', 'simple', 'admin']",admin,997,2321,0
TLG,"['array', 'easy', 'admin']",admin,25353,123435,0
RIT02,"['array', 'findthestudents', 'maths', 'medium', 'dvlpr_expert']",dvlpr_expert,121,1110,0
CHKDST,"['array', 'flfi2016', 'implementation', 'medium', 'medium-hard', 'vibhor3gupta']",vibhor3gupta,9,56,0
CHKAR,"['array', 'flfi2016', 'hard', 'stock-span', 'vibhor3gupta']",vibhor3gupta,3,58,0
CHKTRE,"['array', 'dfs', 'dynamic-programming', 'easy-medium', 'flfi2016', 'tree', 'vibhor3gupta']",vibhor3gupta,42,106,0
KTTABLE,"['array', 'cakewalk', 'loop', 'snckql16', 'sergey_adm']",sergey_adm,16424,30447,0
CDIT01,"['array', 'cdit2016', 'cyclothon', 'easy-medium', 'akshatjain2209']",akshatjain2209,138,403,0
CDIT03,"['array', 'cdit2016', 'easy-medium', 'akshatjain2209']",akshatjain2209,13,106,0
CHEFLR,"['ad-hoc', 'basic-math', 'sept14', 'simple', 'berezin']",berezin,5757,23458,0
CHEFGR,"['basic-math', 'cakewalk', 'oct14', 'berezin']",berezin,9819,32598,0
PRLADDU,"['basic-math', 'easy', 'dpraveen']",dpraveen,5594,22979,0
FCTRL,"['basic-math', 'easy', 'number-theory', 'u_admin_codechef_pw']",u_admin_codechef_pw,48939,143187,0
CHEFSTON,"['basic-math', 'cakewalk', 'jan15', 'berezin']",berezin,19267,30083,0
CHEFRP,"['basic-math', 'cakewalk', 'may15', 'abhra73']",abhra73,6923,18032,0
SETDIFF,"['basic-math', 'easy', 'may15', 'amitpandeykgp']",amitpandeykgp,6254,22422,0
CHAPD,"['basic-math', 'easy', 'gcd', 'may15', 'vitalij_adm']",vitalij_adm,8746,26714,0
DEVSTR,"['admin', 'basic-math', 'easy', 'may15', 'admin2']",admin2,3533,15030,0
ADTRI,"['basic-math', 'easy', 'oct15', 'prime', 'abhra73']",abhra73,18201,40312,0
CNOTE,"['basic-prog', 'cakewalk', 'march15', 'ma5termind']",ma5termind,13791,30018,0
ANKPAREN,"['basic-prog', 'cook59', 'easy-medium', 'pattern', 'stack', 'code_master01']",code_master01,622,3148,0
UTMOPR,"['basic-prog', 'cakewalk', 'cook59', 'simulation', 'code_note']",code_note,4279,9834,0
TWOSTR,"['basic-prog', 'cakewalk', 'cook61', 'implementation', 'strings', 'imran_adm']",imran_adm,9322,19100,0
FRGTNLNG,"['basic-prog', 'cakewalk', 'cook62', 'strings', 'kostya_by']",kostya_by,6306,11672,0
EGRANDR,"['basic-prog', 'cakewalk', 'july16', 'egor_bobyk']",egor_bobyk,21641,38482,0
CHSQR,"['basic-prog', 'nov16', 'simple', 'fiter']",fiter,4343,7766,0
ALEXTASK,"['basic-prog', 'lcm', 'nov16', 'simple', 'rubanalexey']",rubanalexey,17538,33328,0
SUPVIL,"['basic-prog', 'cakewalk', 'ltime43', 'pkacprzak']",pkacprzak,1183,4404,0
GGSQR,"['basic-prog', 'cakewalk', 'surajumang08']",surajumang08,399,928,0
MINWDSUM,"['bfs', 'cook31', 'medium', 'anton_adm']",anton_adm,71,216,0
MINESWPR,"['ad-hoc', 'bfs', 'challenge', 'interactive', 'march13', 'david_adm']",david_adm,10182,17430,0
DIGJUMP,"['bfs', 'dijkstra', 'easy', 'june14', 'berezin']",berezin,3671,28718,0
LUCKG,"['ad-hoc', 'bfs', 'july14', 'medium', 'vitalij_adm']",vitalij_adm,558,5465,0
IRONISL,"['bfs', 'bitmasking', 'graph', 'ltime15', 'medium', 'kostya_by']",kostya_by,415,624,0
ANUTDP,"['bfs', 'binary-search', 'cook51', 'dfs', 'easy-medium', 'sorting', 'anudeep2011']",anudeep2011,168,1045,0
PETERSEN,"['bfs', 'cook52', 'graphs', 'simple', 'traversal', 'kostya_by']",kostya_by,964,2724,0
LSTGRPH,"['bfs', 'bipartite', 'cook52', 'easy-medium', 'graphs', 'kostya_by']",kostya_by,214,837,0
WSCAGAIN,"['bfs', 'easy', 'ltime18', 'sergey_adm']",sergey_adm,143,246,0
KGP14C,"['bfs', 'graph', 'kgp14ros', 'medium', 'admin3']",admin3,352,920,0
CIELBALL,"['binary-search', 'cook24', 'dynamic-programming', 'hard', 'hiroto_adm']",hiroto_adm,25,68,0
LIGHT,"['binary-search', 'geometry', 'line-sweep', 'sep12', 'jingbo_adm']",jingbo_adm,403,1955,0
PARADE,"['binary-search', 'floyd-warshall', 'min-cost-flow', 'sep12', 'chen_adm']",chen_adm,132,728,0
LELUCKYN,"['binary-search', 'cook28', 'maths', 'medium-hard', 'witaliy_adm']",witaliy_adm,54,754,0
CHEFHCK2,"['binary-search', 'cook31', 'easy', 'anton_adm']",anton_adm,101,442,0
TABUS,"['binary-search', 'cook32', 'dynamic-programming', 'easy-medium', 'graph', 'tuan_adm']",tuan_adm,224,2414,0
CHITHH,"['binary-search', 'ltime04', 'medium', 'preprocessing', 'furko_adm']",furko_adm,314,722,0
AMIFIB,"['binary-search', 'cook40', 'easy', 'fibonacci', 'hashing', 'offline', 'vineet_adm']",vineet_adm,1746,8532,0
LOWSUM,"['binary-search', 'cook40', 'easy', 'priority', 'sorting', 'vineet_adm']",vineet_adm,403,3520,0
FRBSUM,"['binary-search', 'jan14', 'medium', 'persistence', 'segment-tree', 'kostya_by']",kostya_by,502,2703,0
MARTARTS,"['bipartite', 'hard', 'matching', 'nov12', 'tomaz_adm']",tomaz_adm,140,1106,0
LONGART,"['bipartite', 'graph', 'hard', 'march13', 'maximum-flow', 'istva_adm']",istva_adm,84,975,0
KMHAMHA,"['bipartite', 'easy-medium', 'matching', 'oct13', 'kaush_adm']",kaush_adm,910,9850,0
CAKE2AM,"['bipartite', 'cook42', 'geometry', 'max-indep-set', 'maxflow', 'medium-hard', 'satej_adm']",satej_adm,29,126,0
DIVIDE,"['binary', 'bipartite', 'easy', 'graph', 'ltime18', 'sergey_adm']",sergey_adm,148,545,0
KGP14F,"['bipartite', 'graph', 'kgp14ros', 'medium', 'admin3']",admin3,85,221,0
ANDMAT,"['bipartite', 'bitwise', 'operator', 'snck15fl', 'utkarsh_lath']",utkarsh_lath,120,364,0
AGRAPH,"['bipartite', 'graph', 'ipc151a', 'ipcquestion', 'skullcrackers']",skullcrackers,169,460,0
CHFNFRN,"['bipartite', 'easy', 'sept16', 'antoniuk1']",antoniuk1,8046,33278,0
DOWNLOAD,"['bit', 'cook23', 'medium', 'sorting', 'anil_adm']",anil_adm,179,8220,0
SPREAD,"['april11', 'bit', 'easy', 'anhdq_adm']",anhdq_adm,1338,9037,0
AMSEQT,"['bit', 'cook34', 'dynamic-programming', 'easy', 'satej_adm']",satej_adm,91,253,0
SEABAL,"['aug13', 'bit', 'fenwick', 'medium', 'segment-tree', 'sereja_adm']",sereja_adm,655,3803,0
RRTREE,"['bit', 'cook38', 'hard', 'heavy-light', 'segtree', 'tree', 'roman_adm']",roman_adm,177,465,0
PPLUCKY,"['bit', 'cook39', 'fenwick', 'medium', 'segment-tree', 'witaliy_adm']",witaliy_adm,183,1916,0
SUBARR,"['bit', 'easy', 'fenwick', 'ltime07', 'prefix-sum', 'segment-tree', 'kostya_by']",kostya_by,1177,2021,0
LPAIR,"['bit', 'cook43', 'easy-medium', 'shiplu_adm']",shiplu_adm,986,3282,0
FBCHEF,"['april14', 'bit', 'medium-hard', 'segment-tree', 'surya_adm']",surya_adm,154,1066,0
FUNAGP,"['bit', 'hard', 'may14', 'segment-tree', 'devuy11']",devuy11,145,2352,0
FAULT,"['april13', 'bitwise', 'challenge', 'gauss-elim', 'david_adm']",david_adm,6175,9797,0
PPXOR,"['bitwise', 'cook39', 'easy-medium', 'xor', 'witaliy_adm']",witaliy_adm,571,2220,0
PPTREE,"['bitwise', 'cook39', 'dynamic-programming', 'medium-hard', 'trie', 'xor', 'witaliy_adm']",witaliy_adm,249,805,0
REBXOR,"['bitwise', 'sept15', 'trie', 'xor', 'rebryk']",rebryk,9127,18919,0
ASYA1,"['bitwise', 'easy', 'implementation', 'ipc15p3b', 'pakhandi']",pakhandi,55,97,0
SEQUAT2,"['bitwise', 'cook76', 'medium-hard', 'sieve', 'istva_adm']",istva_adm,32,472,0
CHEFARRB,"['bitwise', 'cook77', 'easy', 'linear-search', 'mgch']",mgch,470,2348,0
ASYA2,"['bitwise', 'pakhandi']",pakhandi,654,2905,0
LIKECS03,"['bitwise', 'cook86', 'easy-medium', 'greedy', 'likecs', 'likecs']",likecs,969,2618,0
SIMNIM,"['bruteforce', 'challenge', 'gauss-elim', 'sep12', 'gennady_adm']",gennady_adm,2868,5301,0
REARRAN,"['bruteforce', 'cook27', 'meet-in-middle', 'simple-math', 'gennady_adm']",gennady_adm,25,295,0
DDISH,"['bruteforce', 'nov12', 'simple', 'simple-math', 'roman_adm']",roman_adm,773,6064,0
CHALENGE,"['ad-hoc', 'bruteforce', 'challenge', 'interactive', 'may13', 'david_adm']",david_adm,23514,28529,0
NEXTNUM,"['bruteforce', 'cakewalk', 'cook40', 'enumeration', 'factorial', 'vineet_adm']",vineet_adm,528,2111,0
SHOOTING,"['bruteforce', 'cook49', 'greedy', 'simple', 'witaliy_adm']",witaliy_adm,325,9049,0
GRIDCONN,"['biginteger', 'bruteforce', 'handling', 'ltime18', 'simple', 'sergey_adm']",sergey_adm,70,163,0
PCHIPS,"['bruteforce', 'cakewalk', 'ipc151a', 'skullcrackers']",skullcrackers,508,1111,0
CHEFSETC,"['bitmasks', 'bruteforce', 'cakewalk', 'cook77', 'mgch']",mgch,1745,3702,0
DISTINCT,"['bruteforce', 'cakewalk', 'chandubaba']",chandubaba,218,408,0
TWTCLOSE,"['array-string', 'cakewalk', 'cook23', 'anil_adm']",anil_adm,8862,19826,0
SAD,"['cakewalk', 'july12', 'search', 'nam_adm']",nam_adm,3054,8341,0
CIELRCPT,"['cakewalk', 'cook24', 'greedy', 'hiroto_adm']",hiroto_adm,19451,33119,0
CARVANS,"['cakewalk', 'cook26', 'simple-math', 'nikhil_adm']",nikhil_adm,14529,33375,0
DRGNBOOL,"['cakewalk', 'oct12', 'kaush_adm']",kaush_adm,4031,8946,0
GRANAMA,"['cakewalk', 'dec12', 'simple-math', 'vamsi_adm']",vamsi_adm,3449,11888,0
CLOSEST,"['challenge', 'geometry', 'june12', 'kd-tree', 'shilp_adm']",shilp_adm,4709,11940,0
ADDCHAIN,"['challenge', 'july12', 'anton_adm']",anton_adm,1835,3955,0
CHECKERS,"['aug12', 'challenge', 'graph', 'david_adm']",david_adm,635,1108,0
MAXRECT,"['challenge', 'oct12', 'nikhil_adm']",nikhil_adm,14563,23086,0
CKROACH,"['challenge', 'may12', 'hiroto_adm']",hiroto_adm,9733,12026,0
TOMJERRY,"['challenge', 'march12', 'shilp_adm']",shilp_adm,1540,2822,0
SIMGRAPH,"['april12', 'challenge', 'david_adm']",david_adm,5373,6923,0
